questions,answers,questions_with_answers,entity,image_ids
"Huh ! ? Smh RT @ComedyCentralKE Terrible day for Kenyans . #GarissaAttack #KenyaAttack http://t.co/MKpE8Y8UUC"" Which word(s) correspond to the location in the sentence? ",Kenyans,"Huh ! ? Smh RT @ComedyCentralKE Terrible day for Kenyans . #GarissaAttack #KenyaAttack http://t.co/MKpE8Y8UUC"" Which word(s) correspond to the location in the sentence? Answer: Kenyans",location,377.jpg
RT @OU _ Football : Baker ' s record-breaking opening performance . http://t.co/H87rhSUYHi Which word(s) correspond to the person in the sentence? ,Baker,RT @OU _ Football : Baker ' s record-breaking opening performance . http://t.co/H87rhSUYHi Which word(s) correspond to the person in the sentence? Answer: Baker,person,74236.jpg
Nana meets Conchita at Paris ( exhibition Jean Paul Gaultier ) http://t.co/4rJQPa2Um8 Which word(s) correspond to the person in the sentence? ,Nana,Nana meets Conchita at Paris ( exhibition Jean Paul Gaultier ) http://t.co/4rJQPa2Um8 Which word(s) correspond to the person in the sentence? Answer: Nana,person,372474.jpg
RT @ThislsAmazing : Woodstock http://t.co/k6M8U72cUy Which word(s) correspond to the location in the sentence? ,Woodstock,RT @ThislsAmazing : Woodstock http://t.co/k6M8U72cUy Which word(s) correspond to the location in the sentence? Answer: Woodstock,location,35327.jpg
St . John Paul II &amp ; Religious Liberty #Fortnight4Freedom #Catholic #FortnightForFreedom http://t.co/A6IIPVbZIo Which word(s) correspond to the misceallonous entity in the sentence? ,#Catholic,St . John Paul II &amp ; Religious Liberty #Fortnight4Freedom #Catholic #FortnightForFreedom http://t.co/A6IIPVbZIo Which word(s) correspond to the misceallonous entity in the sentence? Answer: #Catholic,misceallonous entity,1285681.jpg
"#Bears coach John Fox meets the Dolphins after his first game , a preseason win : http://t.co/MDtDMa3Ahy http://t.co/fSZ6rigQrE Which word(s) correspond to the organization in the sentence? ",#Bears,"#Bears coach John Fox meets the Dolphins after his first game , a preseason win : http://t.co/MDtDMa3Ahy http://t.co/fSZ6rigQrE Which word(s) correspond to the organization in the sentence? Answer: #Bears",organization,70513.jpg
"RT @astroehlein : "" You are safe - The City of Vienna "" #RefugeesWelcome http://t.co/A3HpLcWzGl Which word(s) correspond to the location in the sentence? ",Vienna,"RT @astroehlein : "" You are safe - The City of Vienna "" #RefugeesWelcome http://t.co/A3HpLcWzGl Which word(s) correspond to the location in the sentence? Answer: Vienna",location,899319.jpg
Are you ready for some football ? VARSITY ZONE is back tonight with the best coverage of AZ high school football ! http://t.co/ruZMgKQ77n Which word(s) correspond to the misceallonous entity in the sentence? ,VARSITY ZONE,Are you ready for some football ? VARSITY ZONE is back tonight with the best coverage of AZ high school football ! http://t.co/ruZMgKQ77n Which word(s) correspond to the misceallonous entity in the sentence? Answer: VARSITY ZONE,misceallonous entity,421004.jpg
RT @winnazworld : WE ARE WINNAZ - a big shout out from the WINNAZ production team in Musanze ! #wearewinnaz http://t.co/3unNx0AoKu Which word(s) correspond to the location in the sentence? ,Musanze,RT @winnazworld : WE ARE WINNAZ - a big shout out from the WINNAZ production team in Musanze ! #wearewinnaz http://t.co/3unNx0AoKu Which word(s) correspond to the location in the sentence? Answer: Musanze,location,809755.jpg
RT @hdwallpaperhub : Good Morning Friends . . . . Here is 75 Years Of Batman http://t.co/PMFD8dcdcu Which word(s) correspond to the misceallonous entity in the sentence? ,Batman,RT @hdwallpaperhub : Good Morning Friends . . . . Here is 75 Years Of Batman http://t.co/PMFD8dcdcu Which word(s) correspond to the misceallonous entity in the sentence? Answer: Batman,misceallonous entity,539866.jpg
Apple Passes Nikon to Become 2nd Most Popular Camera Brand on Flickr http://t.co/psG70DGdKQ. @Canon #mareketshare http://t.co/knmqfvpe9c Which word(s) correspond to the organization in the sentence? ,Apple,Apple Passes Nikon to Become 2nd Most Popular Camera Brand on Flickr http://t.co/psG70DGdKQ. @Canon #mareketshare http://t.co/knmqfvpe9c Which word(s) correspond to the organization in the sentence? Answer: Apple,organization,1287451.jpg
Langkawi Island is full of beautiful resorts to choose from . #MalaysiaTrulyAsia #MyFest2015 #NaturallyLangkawi http://t.co/gTJapZ8As4 Which word(s) correspond to the location in the sentence? ,Langkawi Island,Langkawi Island is full of beautiful resorts to choose from . #MalaysiaTrulyAsia #MyFest2015 #NaturallyLangkawi http://t.co/gTJapZ8As4 Which word(s) correspond to the location in the sentence? Answer: Langkawi Island,location,414371.jpg
#DRC plans to lease out 1/4 of country to agribusiness investors http://t.co/gQh9lc9Gig http://t.co/ONvmAf5lMi Which word(s) correspond to the location in the sentence? ,#DRC,#DRC plans to lease out 1/4 of country to agribusiness investors http://t.co/gQh9lc9Gig http://t.co/ONvmAf5lMi Which word(s) correspond to the location in the sentence? Answer: #DRC,location,623283.jpg
Great questions from the students at the National Latino Education Institute this morning ! http://t.co/dXs1GiNlBu Which word(s) correspond to the location in the sentence? ,National Institute Education Latino,Great questions from the students at the National Latino Education Institute this morning ! http://t.co/dXs1GiNlBu Which word(s) correspond to the location in the sentence? Answer: National Institute Education Latino,location,820543.jpg
"Throwback Thursday of me , aged 4 , taking a ride with my best mate / very docile pet sheep Kate . #love #tbt http://t.co/PE1Oxrxrdt Which word(s) correspond to the person in the sentence? ",Kate,"Throwback Thursday of me , aged 4 , taking a ride with my best mate / very docile pet sheep Kate . #love #tbt http://t.co/PE1Oxrxrdt Which word(s) correspond to the person in the sentence? Answer: Kate",person,1297424.jpg
"RT @sumertimestyles : HQ pictures of the arrest of One direction member , Harry Styles . #HarryGotArrested http://t.co/KcezxPZxSm Which word(s) correspond to the person in the sentence? ",Harry Styles,"RT @sumertimestyles : HQ pictures of the arrest of One direction member , Harry Styles . #HarryGotArrested http://t.co/KcezxPZxSm Which word(s) correspond to the person in the sentence? Answer: Harry Styles",person,833453.jpg
Cosmetic change only at Canadian International School http://t.co/lILtwM6INc via @HarbourTimes #CDNIS http://t.co/ZzI8cgqydo Which word(s) correspond to the organization in the sentence? ,Canadian School International,Cosmetic change only at Canadian International School http://t.co/lILtwM6INc via @HarbourTimes #CDNIS http://t.co/ZzI8cgqydo Which word(s) correspond to the organization in the sentence? Answer: Canadian School International,organization,1813077.jpg
RT @Steve _ OS : DeAndre Jordan Achievement Unlocked http://t.co/GDwbtl6BgA Which word(s) correspond to the person in the sentence? ,DeAndre Jordan,RT @Steve _ OS : DeAndre Jordan Achievement Unlocked http://t.co/GDwbtl6BgA Which word(s) correspond to the person in the sentence? Answer: DeAndre Jordan,person,21311.jpg
Westfields Hospital is now running on solar energy ! #sustainability http://t.co/lkI4CsmeTR http://t.co/EfqqbXVlYT Which word(s) correspond to the organization in the sentence? ,Westfields Hospital,Westfields Hospital is now running on solar energy ! #sustainability http://t.co/lkI4CsmeTR http://t.co/EfqqbXVlYT Which word(s) correspond to the organization in the sentence? Answer: Westfields Hospital,organization,864143.jpg
Jens Nielsen and Michele Sabban on closing ceremony #wcs2014 #COP20 @JensNielsen26 http://t.co/y3CntgwmDg Which word(s) correspond to the person in the sentence? ,Jens Nielsen,Jens Nielsen and Michele Sabban on closing ceremony #wcs2014 #COP20 @JensNielsen26 http://t.co/y3CntgwmDg Which word(s) correspond to the person in the sentence? Answer: Jens Nielsen,person,304783.jpg
RT @tryna _ be _ famous : Your uncle and his young wife on they way to the Tom Joyner cruise http://t.co/a6PiwfsRNO Which word(s) correspond to the person in the sentence? ,Tom Joyner,RT @tryna _ be _ famous : Your uncle and his young wife on they way to the Tom Joyner cruise http://t.co/a6PiwfsRNO Which word(s) correspond to the person in the sentence? Answer: Tom Joyner,person,119081.jpg
"RT @SMendesTour : Shawn with Ohio squad today at his M&amp ; G in Cleveland , OH . ( 7/21-2015 ) . @ayhtdwshawn http://t.co/9umdEukah7 Which word(s) correspond to the person in the sentence? ",Shawn,"RT @SMendesTour : Shawn with Ohio squad today at his M&amp ; G in Cleveland , OH . ( 7/21-2015 ) . @ayhtdwshawn http://t.co/9umdEukah7 Which word(s) correspond to the person in the sentence? Answer: Shawn",person,499573.jpg
"RT @CHANEL : Alice Dellal , Kristen Stewart , and Vanessa Paradis , faces of the new handbag campaign http://t.co/CBpZygJZzt Which word(s) correspond to the person in the sentence? ",Alice Dellal,"RT @CHANEL : Alice Dellal , Kristen Stewart , and Vanessa Paradis , faces of the new handbag campaign http://t.co/CBpZygJZzt Which word(s) correspond to the person in the sentence? Answer: Alice Dellal",person,1100609.jpg
Single vehicle crash into light pole closes Gilbert intersection . http://t.co/sAd1t6Luqn http://t.co/BQMyVxhKSg Which word(s) correspond to the location in the sentence? ,Gilbert,Single vehicle crash into light pole closes Gilbert intersection . http://t.co/sAd1t6Luqn http://t.co/BQMyVxhKSg Which word(s) correspond to the location in the sentence? Answer: Gilbert,location,421295.jpg
Winning the 1st stage of Absa Cape Epic in Oak Valley . . http://t.co/L76Hhz7ecN Which word(s) correspond to the organization in the sentence? ,Absa Epic Cape,Winning the 1st stage of Absa Cape Epic in Oak Valley . . http://t.co/L76Hhz7ecN Which word(s) correspond to the organization in the sentence? Answer: Absa Epic Cape,organization,314073.jpg
Tar Heels in the Chi ! Haven ' t shot the good guys in Carolina Blue since 2007 ? #roysboys #gdtbath http://t.co/CWLPHp52n2 Which word(s) correspond to the misceallonous entity in the sentence? ,Carolina Blue,Tar Heels in the Chi ! Haven ' t shot the good guys in Carolina Blue since 2007 ? #roysboys #gdtbath http://t.co/CWLPHp52n2 Which word(s) correspond to the misceallonous entity in the sentence? Answer: Carolina Blue,misceallonous entity,72188.jpg
RT @AnimaILife : This is Sparta http://t.co/O6v8wnep9o Which word(s) correspond to the location in the sentence? ,Sparta,RT @AnimaILife : This is Sparta http://t.co/O6v8wnep9o Which word(s) correspond to the location in the sentence? Answer: Sparta,location,660798.jpg
"#ISIS be like , http://t.co/y5FWxXO6x1 Which word(s) correspond to the organization in the sentence? ",#ISIS,"#ISIS be like , http://t.co/y5FWxXO6x1 Which word(s) correspond to the organization in the sentence? Answer: #ISIS",organization,142287.jpg
"RT @Glamberttt _ : I think that Adam and Sauli are having fun right now at their bedroom , a lot of fun . . . Morning sex ; D . . . http://t.co/js ... Which word(s) correspond to the person in the sentence? ",Adam,"RT @Glamberttt _ : I think that Adam and Sauli are having fun right now at their bedroom , a lot of fun . . . Morning sex ; D . . . http://t.co/js ... Which word(s) correspond to the person in the sentence? Answer: Adam",person,21499.jpg
Galaxy S6 is just . . . wow ! http://t.co/uj7AS1wwya Which word(s) correspond to the misceallonous entity in the sentence? ,Galaxy S6,Galaxy S6 is just . . . wow ! http://t.co/uj7AS1wwya Which word(s) correspond to the misceallonous entity in the sentence? Answer: Galaxy S6,misceallonous entity,588.jpg
RT @whip _ porn : Mercedes Benz http://t.co/xehOuCi7Dx Which word(s) correspond to the misceallonous entity in the sentence? ,Mercedes Benz,RT @whip _ porn : Mercedes Benz http://t.co/xehOuCi7Dx Which word(s) correspond to the misceallonous entity in the sentence? Answer: Mercedes Benz,misceallonous entity,6570.jpg
RT @historyofsound : John Lennon creating . http://t.co/gy48kIDunz Which word(s) correspond to the person in the sentence? ,John Lennon,RT @historyofsound : John Lennon creating . http://t.co/gy48kIDunz Which word(s) correspond to the person in the sentence? Answer: John Lennon,person,617679.jpg
"From Washington to Sochi , my year in Instagram diptychs : http://t.co/iD2QWD0ZTO http://t.co/Z8ka8eReTN Which word(s) correspond to the location in the sentence? ",Washington,"From Washington to Sochi , my year in Instagram diptychs : http://t.co/iD2QWD0ZTO http://t.co/Z8ka8eReTN Which word(s) correspond to the location in the sentence? Answer: Washington",location,72036.jpg
RT @BleacherReport : St . Thomas pitcher Ben Acheff is the stuff legends are made of . http://t.co/HPZoFHrZPA http://t.co/cND3tE0Vsz Which word(s) correspond to the person in the sentence? ,Ben Acheff,RT @BleacherReport : St . Thomas pitcher Ben Acheff is the stuff legends are made of . http://t.co/HPZoFHrZPA http://t.co/cND3tE0Vsz Which word(s) correspond to the person in the sentence? Answer: Ben Acheff,person,45806.jpg
RT @bloemhof54 : There are always flowers for those who want to see them . - Henri Matisse http://t.co/do40WiT3Au http://t.co/OE5eHDA6b3 Which word(s) correspond to the person in the sentence? ,Henri Matisse,RT @bloemhof54 : There are always flowers for those who want to see them . - Henri Matisse http://t.co/do40WiT3Au http://t.co/OE5eHDA6b3 Which word(s) correspond to the person in the sentence? Answer: Henri Matisse,person,872892.jpg
Love shopping at lush I smell sooooo good ! http://t.co/ZCqpNy5JhO Which word(s) correspond to the misceallonous entity in the sentence? ,lush,Love shopping at lush I smell sooooo good ! http://t.co/ZCqpNy5JhO Which word(s) correspond to the misceallonous entity in the sentence? Answer: lush,misceallonous entity,70126.jpg
RT @Sergio _ Bucks : Kendrick Perkins de vacaciones con Mike Miller de butaca : http://t.co/LzP0ywV6nN Which word(s) correspond to the person in the sentence? ,Kendrick Perkins,RT @Sergio _ Bucks : Kendrick Perkins de vacaciones con Mike Miller de butaca : http://t.co/LzP0ywV6nN Which word(s) correspond to the person in the sentence? Answer: Kendrick Perkins,person,118201.jpg
RT @Goon _ Aaron : Paul walker would be happy if this happened in fast 7 http://t.co/tArxNSijdq Which word(s) correspond to the person in the sentence? ,Paul walker,RT @Goon _ Aaron : Paul walker would be happy if this happened in fast 7 http://t.co/tArxNSijdq Which word(s) correspond to the person in the sentence? Answer: Paul walker,person,32490.jpg
RT @kyle2lamb : Congrats to Brent Musburger and @ _ KatherineWebb eminem is also shocked by this http://t.co/iGYMAw0gLf Which word(s) correspond to the person in the sentence? ,Brent Musburger,RT @kyle2lamb : Congrats to Brent Musburger and @ _ KatherineWebb eminem is also shocked by this http://t.co/iGYMAw0gLf Which word(s) correspond to the person in the sentence? Answer: Brent Musburger,person,1966014.jpg
RT @crooksandliars : Wingnut Larry Klayman Slaps Hillary Clinton With Racketeering Lawsuit http://t.co/XvUwHesD8i http://t.co/98iAUf2xRj Which word(s) correspond to the person in the sentence? ,Larry Klayman,RT @crooksandliars : Wingnut Larry Klayman Slaps Hillary Clinton With Racketeering Lawsuit http://t.co/XvUwHesD8i http://t.co/98iAUf2xRj Which word(s) correspond to the person in the sentence? Answer: Larry Klayman,person,66076.jpg
RT @mjesusgz : Morning Venice by Angela Hofman http://t.co/AoUUoHxiGB Which word(s) correspond to the location in the sentence? ,Venice,RT @mjesusgz : Morning Venice by Angela Hofman http://t.co/AoUUoHxiGB Which word(s) correspond to the location in the sentence? Answer: Venice,location,62786.jpg
@sexuaI : Ariana Grande is looking fire #GRAMMYs http://t.co/qQlYYfcWjW she so right Which word(s) correspond to the person in the sentence? ,Ariana Grande,@sexuaI : Ariana Grande is looking fire #GRAMMYs http://t.co/qQlYYfcWjW she so right Which word(s) correspond to the person in the sentence? Answer: Ariana Grande,person,30342.jpg
The public process for IndyCar #Boston is underway . http://t.co/OxQ2SBPVrM http://t.co/epuXFJaKqv Which word(s) correspond to the misceallonous entity in the sentence? ,IndyCar,The public process for IndyCar #Boston is underway . http://t.co/OxQ2SBPVrM http://t.co/epuXFJaKqv Which word(s) correspond to the misceallonous entity in the sentence? Answer: IndyCar,misceallonous entity,33240.jpg
You have wings . Learn to use them and fly . #Rumi #quote #quotes http://t.co/OgiCJafXRV Which word(s) correspond to the person in the sentence? ,#Rumi,You have wings . Learn to use them and fly . #Rumi #quote #quotes http://t.co/OgiCJafXRV Which word(s) correspond to the person in the sentence? Answer: #Rumi,person,816171.jpg
RT @NYTMetro : The Manhattan skyline may need to go darker to go green : http://t.co/ami5AfDRrZ http://t.co/JMN56jSSKM Which word(s) correspond to the location in the sentence? ,Manhattan,RT @NYTMetro : The Manhattan skyline may need to go darker to go green : http://t.co/ami5AfDRrZ http://t.co/JMN56jSSKM Which word(s) correspond to the location in the sentence? Answer: Manhattan,location,50407.jpg
"RT @sranysovok : - Blatter , we happy ? - Yeah , we happy http://t.co/T3fUPiCa3R Which word(s) correspond to the person in the sentence? ",Blatter,"RT @sranysovok : - Blatter , we happy ? - Yeah , we happy http://t.co/T3fUPiCa3R Which word(s) correspond to the person in the sentence? Answer: Blatter",person,34390.jpg
RT @HistoryInPics : 1970s Lego had the right idea http://t.co/w3T8jhPxEN Which word(s) correspond to the organization in the sentence? ,Lego,RT @HistoryInPics : 1970s Lego had the right idea http://t.co/w3T8jhPxEN Which word(s) correspond to the organization in the sentence? Answer: Lego,organization,830659.jpg
RT @fleekcyrus : RT #MTVHottest Miley cyrus http://t.co/rizq8aZHfS Which word(s) correspond to the person in the sentence? ,Miley cyrus,RT @fleekcyrus : RT #MTVHottest Miley cyrus http://t.co/rizq8aZHfS Which word(s) correspond to the person in the sentence? Answer: Miley cyrus,person,458635.jpg
"Good morning , Switzerland . You ' re looking very quaint http://t.co/IHAxSQU1w9 Which word(s) correspond to the location in the sentence? ",Switzerland,"Good morning , Switzerland . You ' re looking very quaint http://t.co/IHAxSQU1w9 Which word(s) correspond to the location in the sentence? Answer: Switzerland",location,73790.jpg
Hastings basketball all day at the targetcenter http://t.co/8GSVSOnmEB Which word(s) correspond to the person in the sentence? ,Hastings,Hastings basketball all day at the targetcenter http://t.co/8GSVSOnmEB Which word(s) correspond to the person in the sentence? Answer: Hastings,person,90744.jpg
RT @Erwinlandman72 : De auto van Max Verstappen van hyacinten bloemenvgemaakt#bloemendagen#AnnaPaulowna http://t.co/gyFeXrVFNy Which word(s) correspond to the person in the sentence? ,Max Verstappen,RT @Erwinlandman72 : De auto van Max Verstappen van hyacinten bloemenvgemaakt#bloemendagen#AnnaPaulowna http://t.co/gyFeXrVFNy Which word(s) correspond to the person in the sentence? Answer: Max Verstappen,person,72856.jpg
"RT @GoogleFacts : Baby elephant is playing on the beach for the first time in his life , Sri Lanka http://t.co/ySsBG3tHhz Which word(s) correspond to the location in the sentence? ",Sri Lanka,"RT @GoogleFacts : Baby elephant is playing on the beach for the first time in his life , Sri Lanka http://t.co/ySsBG3tHhz Which word(s) correspond to the location in the sentence? Answer: Sri Lanka",location,24251.jpg
Chicago kind of night in Austin last night ! Greatest live band on earth . #PJACL2014 http://t.co/g7eRPTSAFD Which word(s) correspond to the location in the sentence? ,Chicago,Chicago kind of night in Austin last night ! Greatest live band on earth . #PJACL2014 http://t.co/g7eRPTSAFD Which word(s) correspond to the location in the sentence? Answer: Chicago,location,46536.jpg
I look out a window in Stanton Elementary . #students #washingtondc #education #learning #anacostia #hope http://t.co/uqZ13Qihsm Which word(s) correspond to the organization in the sentence? ,Stanton Elementary,I look out a window in Stanton Elementary . #students #washingtondc #education #learning #anacostia #hope http://t.co/uqZ13Qihsm Which word(s) correspond to the organization in the sentence? Answer: Stanton Elementary,organization,590905.jpg
Georgia Bulldogs . A tribute . http://t.co/rMKKh595nb Which word(s) correspond to the organization in the sentence? ,Georgia Bulldogs,Georgia Bulldogs . A tribute . http://t.co/rMKKh595nb Which word(s) correspond to the organization in the sentence? Answer: Georgia Bulldogs,organization,459275.jpg
Oklahoma is flooding ! http://t.co/t0xwERkXXA Which word(s) correspond to the location in the sentence? ,Oklahoma,Oklahoma is flooding ! http://t.co/t0xwERkXXA Which word(s) correspond to the location in the sentence? Answer: Oklahoma,location,126772.jpg
RT @businessinsider : 22 stunning aerial photos of Cuba http://t.co/hfBkNqh9Pm http://t.co/e6Vbw3UJWX Which word(s) correspond to the location in the sentence? ,Cuba,RT @businessinsider : 22 stunning aerial photos of Cuba http://t.co/hfBkNqh9Pm http://t.co/e6Vbw3UJWX Which word(s) correspond to the location in the sentence? Answer: Cuba,location,1357925.jpg
"RT @ngadc : #HappyBirthday Gustav Klimt , Austrian painter born #OnThisDay in 1862 . "" Baby ( Cradle ) "" 1917/1918 http://t.co/ULTJQ2RQJ1 Which word(s) correspond to the person in the sentence? ",Gustav Klimt,"RT @ngadc : #HappyBirthday Gustav Klimt , Austrian painter born #OnThisDay in 1862 . "" Baby ( Cradle ) "" 1917/1918 http://t.co/ULTJQ2RQJ1 Which word(s) correspond to the person in the sentence? Answer: Gustav Klimt",person,1776712.jpg
Suspect arrested in connection with disappearance of Pinal County couple is Jose Valenzuela http://t.co/WPJTH7loUJ http://t.co/QZ2JfqxlCJ Which word(s) correspond to the location in the sentence? ,Pinal County,Suspect arrested in connection with disappearance of Pinal County couple is Jose Valenzuela http://t.co/WPJTH7loUJ http://t.co/QZ2JfqxlCJ Which word(s) correspond to the location in the sentence? Answer: Pinal County,location,423411.jpg
"RT @jenanmoussa : The Middle East at night from space - without borders , religion or ethnicity http://t.co/Jwa3vxnUsC v @VoxMaps http://t.co… Which word(s) correspond to the location in the sentence? ",Middle East,"RT @jenanmoussa : The Middle East at night from space - without borders , religion or ethnicity http://t.co/Jwa3vxnUsC v @VoxMaps http://t.co… Which word(s) correspond to the location in the sentence? Answer: Middle East",location,72648.jpg
"RT @mashable : Well , this bathroom at a Sochi Olympic venue is rather awkward : http://t.co/VHgtsftlYp http://t.co/OT184d8AiH Which word(s) correspond to the location in the sentence? ",Sochi,"RT @mashable : Well , this bathroom at a Sochi Olympic venue is rather awkward : http://t.co/VHgtsftlYp http://t.co/OT184d8AiH Which word(s) correspond to the location in the sentence? Answer: Sochi",location,116444.jpg
RT @NDmbb : We ' re blessed that Fr . Jenkins &amp ; AD Jack Swarbrick are great leaders . Huge support from them all year ! #NotDoneYet http://t.co… Which word(s) correspond to the person in the sentence? ,Jack Swarbrick,RT @NDmbb : We ' re blessed that Fr . Jenkins &amp ; AD Jack Swarbrick are great leaders . Huge support from them all year ! #NotDoneYet http://t.co… Which word(s) correspond to the person in the sentence? Answer: Jack Swarbrick,person,63047.jpg
"RT @judgealexferrer : Work ' s done so I ' m relaxing with my buddy Richie at his NY bar "" Mickey Spillane ' s "" in Hell ' s Kitchen . Good times . http… Which word(s) correspond to the person in the sentence? ",Richie,"RT @judgealexferrer : Work ' s done so I ' m relaxing with my buddy Richie at his NY bar "" Mickey Spillane ' s "" in Hell ' s Kitchen . Good times . http… Which word(s) correspond to the person in the sentence? Answer: Richie",person,64738.jpg
UNCTAD tells #Congobrazza to do more to attract foreign companies in agriculture http://t.co/71Bx8TrZZ5 http://t.co/FLg5UNi6S9 Which word(s) correspond to the organization in the sentence? ,UNCTAD,UNCTAD tells #Congobrazza to do more to attract foreign companies in agriculture http://t.co/71Bx8TrZZ5 http://t.co/FLg5UNi6S9 Which word(s) correspond to the organization in the sentence? Answer: UNCTAD,organization,623109.jpg
Picture of the woman behind the original voice of Siri . Susan Bennett : http://t.co/FdIxloNVLi Which word(s) correspond to the misceallonous entity in the sentence? ,Siri,Picture of the woman behind the original voice of Siri . Susan Bennett : http://t.co/FdIxloNVLi Which word(s) correspond to the misceallonous entity in the sentence? Answer: Siri,misceallonous entity,429743.jpg
RT @TSBible : One for the Liverpool fans to favourite . http://t.co/3AVEOkwPBO Which word(s) correspond to the organization in the sentence? ,Liverpool,RT @TSBible : One for the Liverpool fans to favourite . http://t.co/3AVEOkwPBO Which word(s) correspond to the organization in the sentence? Answer: Liverpool,organization,90083.jpg
RT @Mullin _ Around : More on this dramatic SF tour bus fire on Haight Street : http://t.co/VKdGx14SFv by @EvanSernoffsky http://t.co/vKXvsdCxA3 Which word(s) correspond to the location in the sentence? ,SF,RT @Mullin _ Around : More on this dramatic SF tour bus fire on Haight Street : http://t.co/VKdGx14SFv by @EvanSernoffsky http://t.co/vKXvsdCxA3 Which word(s) correspond to the location in the sentence? Answer: SF,location,416197.jpg
Virtual Hadoop was on the agenda at #VMworld . And we have a solution for you : EMC Isilon . http://t.co/9E48palYGk http://t.co/pkzCFxSo2f Which word(s) correspond to the person in the sentence? ,Hadoop,Virtual Hadoop was on the agenda at #VMworld . And we have a solution for you : EMC Isilon . http://t.co/9E48palYGk http://t.co/pkzCFxSo2f Which word(s) correspond to the person in the sentence? Answer: Hadoop,person,112877.jpg
RT @MustangKings : How many will retweet for Paul Walker http://t.co/KhEmqDoAdV Which word(s) correspond to the person in the sentence? ,Paul Walker,RT @MustangKings : How many will retweet for Paul Walker http://t.co/KhEmqDoAdV Which word(s) correspond to the person in the sentence? Answer: Paul Walker,person,1928637.jpg
RT @thehill : Poll : Bush &amp ; Trump lead 2016 GOP field http://t.co/FCK3vkF8No http://t.co/IWlvQfIPTr Which word(s) correspond to the person in the sentence? ,Bush,RT @thehill : Poll : Bush &amp ; Trump lead 2016 GOP field http://t.co/FCK3vkF8No http://t.co/IWlvQfIPTr Which word(s) correspond to the person in the sentence? Answer: Bush,person,116990.jpg
RT @Gabriele _ Corno : Journey by Baban Shyam http://t.co/8Pf9CPqSy3 Which word(s) correspond to the person in the sentence? ,Baban Shyam,RT @Gabriele _ Corno : Journey by Baban Shyam http://t.co/8Pf9CPqSy3 Which word(s) correspond to the person in the sentence? Answer: Baban Shyam,person,314302.jpg
Lock and Loaded boys ! ! ! Staff Sergeant Dylan reporting for duty . #ExtinctionEventMovie #Blessed #OnSetLastMonth http://t.co/jARXwg9wx4 Which word(s) correspond to the person in the sentence? ,Sergeant Dylan,Lock and Loaded boys ! ! ! Staff Sergeant Dylan reporting for duty . #ExtinctionEventMovie #Blessed #OnSetLastMonth http://t.co/jARXwg9wx4 Which word(s) correspond to the person in the sentence? Answer: Sergeant Dylan,person,1699403.jpg
RT @CuntsWatching : What a scoop for the Daily Mail . Incredible exclusive story . http://t.co/0OOQ8jPbyA Which word(s) correspond to the organization in the sentence? ,Daily Mail,RT @CuntsWatching : What a scoop for the Daily Mail . Incredible exclusive story . http://t.co/0OOQ8jPbyA Which word(s) correspond to the organization in the sentence? Answer: Daily Mail,organization,70145.jpg
Goodmorning ! Getting our breakfast from the only shop in Wessem Limburg . #OpNaarMaastricht http://t.co/16bhYokhhx Which word(s) correspond to the location in the sentence? ,Wessem Limburg,Goodmorning ! Getting our breakfast from the only shop in Wessem Limburg . #OpNaarMaastricht http://t.co/16bhYokhhx Which word(s) correspond to the location in the sentence? Answer: Wessem Limburg,location,464397.jpg
Review ! Last Panda Standing by Jarrett J . Kroscozka : http://t.co/cha10ck8NW via @ThisKid_Erik @StudioJJK #KidLit http://t.co/RG7V7bphRW Which word(s) correspond to the person in the sentence? ,Jarrett Kroscozka,Review ! Last Panda Standing by Jarrett J . Kroscozka : http://t.co/cha10ck8NW via @ThisKid_Erik @StudioJJK #KidLit http://t.co/RG7V7bphRW Which word(s) correspond to the person in the sentence? Answer: Jarrett Kroscozka,person,1375644.jpg
Hastings 6 Hudson 2 W #statetourney#10aaa http://t.co/U7mfOmBhaL Which word(s) correspond to the organization in the sentence? ,Hastings,Hastings 6 Hudson 2 W #statetourney#10aaa http://t.co/U7mfOmBhaL Which word(s) correspond to the organization in the sentence? Answer: Hastings,organization,90812.jpg
"All our dreams can come true , if we have the courage to pursue them . - Walt Disney : http://t.co/UNZJDrjYv0 #wealth http://t.co/QrYWLB44qg Which word(s) correspond to the person in the sentence? ",Walt Disney,"All our dreams can come true , if we have the courage to pursue them . - Walt Disney : http://t.co/UNZJDrjYv0 #wealth http://t.co/QrYWLB44qg Which word(s) correspond to the person in the sentence? Answer: Walt Disney",person,1020552.jpg
"I can tell none of my children or grandchildren were in the Navy , Pop noted while fixing his boat http://t.co/9On8AqQZC6 Which word(s) correspond to the organization in the sentence? ",Navy,"I can tell none of my children or grandchildren were in the Navy , Pop noted while fixing his boat http://t.co/9On8AqQZC6 Which word(s) correspond to the organization in the sentence? Answer: Navy",organization,73595.jpg
"Proud to honor @bigshoulderschi , @McCormick _ Fdn , &amp ; Pamela Adelman of Hyde Park Day School http://t.co/IgzPsWgPOs http://t.co/nPDNvUAF4F Which word(s) correspond to the person in the sentence? ",Pamela Adelman,"Proud to honor @bigshoulderschi , @McCormick _ Fdn , &amp ; Pamela Adelman of Hyde Park Day School http://t.co/IgzPsWgPOs http://t.co/nPDNvUAF4F Which word(s) correspond to the person in the sentence? Answer: Pamela Adelman",person,91939.jpg
