index,entities,answers,sentences,entity,corrected_answers,counter_entity
8978,Cuisine,"['cheap', 'north end', 'burritos']",where is a cheap restaurant in the north end that serves burritos,"['Price', 'Location', 'Dish']",,none
7352,Location,"['cheap', 'peabody']",where can i find a cheap place to eat in peabody,"['Price', 'Location']",peabody,LocationLocation
2789,Dish,"['cheap', 'peabody']",where can i find a cheap place to eat in peabody,"['Price', 'Location']",,none
5831,Price,"['cheap', 'peabody']",where can i find a cheap place to eat in peabody,"['Price', 'Location']",cheap,PricePrice
11915,Restaurant_Name,"['cheap', 'peabody']",where can i find a cheap place to eat in peabody,"['Price', 'Location']",,none
4310,Amenity,"['cheap', 'peabody']",where can i find a cheap place to eat in peabody,"['Price', 'Location']",,none
10394,Hours,"['cheap', 'peabody']",where can i find a cheap place to eat in peabody,"['Price', 'Location']",,none
8873,Cuisine,"['cheap', 'peabody']",where can i find a cheap place to eat in peabody,"['Price', 'Location']",,none
1268,Rating,"['cheap', 'peabody']",where can i find a cheap place to eat in peabody,"['Price', 'Location']",,none
709,Rating,"['cheap', 'pub', 'internet access']",id like to find a cheap pub with internet access,"['Price', 'Cuisine', 'Amenity']",,none
2230,Dish,"['cheap', 'pub', 'internet access']",id like to find a cheap pub with internet access,"['Price', 'Cuisine', 'Amenity']",,none
3751,Amenity,"['cheap', 'pub', 'internet access']",id like to find a cheap pub with internet access,"['Price', 'Cuisine', 'Amenity']",internet access,AmenityAmenityAmenity
5272,Price,"['cheap', 'pub', 'internet access']",id like to find a cheap pub with internet access,"['Price', 'Cuisine', 'Amenity']",cheap,PricePricePrice
9835,Hours,"['cheap', 'pub', 'internet access']",id like to find a cheap pub with internet access,"['Price', 'Cuisine', 'Amenity']",,none
11356,Restaurant_Name,"['cheap', 'pub', 'internet access']",id like to find a cheap pub with internet access,"['Price', 'Cuisine', 'Amenity']",,none
8314,Cuisine,"['cheap', 'pub', 'internet access']",id like to find a cheap pub with internet access,"['Price', 'Cuisine', 'Amenity']",pub,CuisineCuisineCuisine
6793,Location,"['cheap', 'pub', 'internet access']",id like to find a cheap pub with internet access,"['Price', 'Cuisine', 'Amenity']",,none
8913,Cuisine,"['cheap', 'slice of pizza', 'huntington ny']",where can i get a cheap slice of pizza in huntington ny,"['Price', 'Dish', 'Location']",,none
1308,Rating,"['cheap', 'slice of pizza', 'huntington ny']",where can i get a cheap slice of pizza in huntington ny,"['Price', 'Dish', 'Location']",,none
5871,Price,"['cheap', 'slice of pizza', 'huntington ny']",where can i get a cheap slice of pizza in huntington ny,"['Price', 'Dish', 'Location']",cheap,PricePricePrice
4350,Amenity,"['cheap', 'slice of pizza', 'huntington ny']",where can i get a cheap slice of pizza in huntington ny,"['Price', 'Dish', 'Location']",,none
10434,Hours,"['cheap', 'slice of pizza', 'huntington ny']",where can i get a cheap slice of pizza in huntington ny,"['Price', 'Dish', 'Location']",,none
2829,Dish,"['cheap', 'slice of pizza', 'huntington ny']",where can i get a cheap slice of pizza in huntington ny,"['Price', 'Dish', 'Location']",slice of pizza,DishDishDish
11955,Restaurant_Name,"['cheap', 'slice of pizza', 'huntington ny']",where can i get a cheap slice of pizza in huntington ny,"['Price', 'Dish', 'Location']",,none
7392,Location,"['cheap', 'slice of pizza', 'huntington ny']",where can i get a cheap slice of pizza in huntington ny,"['Price', 'Dish', 'Location']",huntington ny,LocationLocationLocation
743,Rating,"['cheap', 'spanish']",im looking for cheap spanish cuisine,"['Price', 'Cuisine']",,none
9869,Hours,"['cheap', 'spanish']",im looking for cheap spanish cuisine,"['Price', 'Cuisine']",,none
8348,Cuisine,"['cheap', 'spanish']",im looking for cheap spanish cuisine,"['Price', 'Cuisine']",spanish,CuisineCuisine
6827,Location,"['cheap', 'spanish']",im looking for cheap spanish cuisine,"['Price', 'Cuisine']",,none
3785,Amenity,"['cheap', 'spanish']",im looking for cheap spanish cuisine,"['Price', 'Cuisine']",,none
11390,Restaurant_Name,"['cheap', 'spanish']",im looking for cheap spanish cuisine,"['Price', 'Cuisine']",,none
2264,Dish,"['cheap', 'spanish']",im looking for cheap spanish cuisine,"['Price', 'Cuisine']",,none
5306,Price,"['cheap', 'spanish']",im looking for cheap spanish cuisine,"['Price', 'Cuisine']",cheap,PricePrice
3534,Amenity,"['cheap', 'vegan']",hi would you please find a restaurant with cheap vegan options,"['Price', 'Cuisine']",,none
4218,Amenity,"['cheap', 'vegan']",what restaurant are cheap and only vegan,"['Price', 'Cuisine']",,none
10302,Hours,"['cheap', 'vegan']",what restaurant are cheap and only vegan,"['Price', 'Cuisine']",,none
6576,Location,"['cheap', 'vegan']",hi would you please find a restaurant with cheap vegan options,"['Price', 'Cuisine']",,none
7260,Location,"['cheap', 'vegan']",what restaurant are cheap and only vegan,"['Price', 'Cuisine']",,none
11139,Restaurant_Name,"['cheap', 'vegan']",hi would you please find a restaurant with cheap vegan options,"['Price', 'Cuisine']",,none
4335,Amenity,"['cheap', 'vegan']",where can i find cheap vegan food,"['Price', 'Cuisine']",,none
492,Rating,"['cheap', 'vegan']",hi would you please find a restaurant with cheap vegan options,"['Price', 'Cuisine']",,none
7377,Location,"['cheap', 'vegan']",where can i find cheap vegan food,"['Price', 'Cuisine']",,none
2697,Dish,"['cheap', 'vegan']",what restaurant are cheap and only vegan,"['Price', 'Cuisine']",,none
5055,Price,"['cheap', 'vegan']",hi would you please find a restaurant with cheap vegan options,"['Price', 'Cuisine']",cheap,PricePrice
11940,Restaurant_Name,"['cheap', 'vegan']",where can i find cheap vegan food,"['Price', 'Cuisine']",,none
1293,Rating,"['cheap', 'vegan']",where can i find cheap vegan food,"['Price', 'Cuisine']",,none
1176,Rating,"['cheap', 'vegan']",what restaurant are cheap and only vegan,"['Price', 'Cuisine']",,none
8898,Cuisine,"['cheap', 'vegan']",where can i find cheap vegan food,"['Price', 'Cuisine']",vegan,CuisineCuisine
9618,Hours,"['cheap', 'vegan']",hi would you please find a restaurant with cheap vegan options,"['Price', 'Cuisine']",,none
10419,Hours,"['cheap', 'vegan']",where can i find cheap vegan food,"['Price', 'Cuisine']",,none
5739,Price,"['cheap', 'vegan']",what restaurant are cheap and only vegan,"['Price', 'Cuisine']",cheap,PricePrice
8781,Cuisine,"['cheap', 'vegan']",what restaurant are cheap and only vegan,"['Price', 'Cuisine']",vegan,CuisineCuisine
2013,Dish,"['cheap', 'vegan']",hi would you please find a restaurant with cheap vegan options,"['Price', 'Cuisine']",,none
8097,Cuisine,"['cheap', 'vegan']",hi would you please find a restaurant with cheap vegan options,"['Price', 'Cuisine']",vegan,CuisineCuisine
11823,Restaurant_Name,"['cheap', 'vegan']",what restaurant are cheap and only vegan,"['Price', 'Cuisine']",,none
2814,Dish,"['cheap', 'vegan']",where can i find cheap vegan food,"['Price', 'Cuisine']",,none
5856,Price,"['cheap', 'vegan']",where can i find cheap vegan food,"['Price', 'Cuisine']",cheap,PricePrice
3253,Amenity,"['cheap', 'vegetarian']",can you tell me where to get some cheap vegetarian food,"['Price', 'Cuisine']",,none
6295,Location,"['cheap', 'vegetarian']",can you tell me where to get some cheap vegetarian food,"['Price', 'Cuisine']",,none
10858,Restaurant_Name,"['cheap', 'vegetarian']",can you tell me where to get some cheap vegetarian food,"['Price', 'Cuisine']",,none
7816,Cuisine,"['cheap', 'vegetarian']",can you tell me where to get some cheap vegetarian food,"['Price', 'Cuisine']",vegetarian,CuisineCuisine
1732,Dish,"['cheap', 'vegetarian']",can you tell me where to get some cheap vegetarian food,"['Price', 'Cuisine']",,none
9337,Hours,"['cheap', 'vegetarian']",can you tell me where to get some cheap vegetarian food,"['Price', 'Cuisine']",,none
211,Rating,"['cheap', 'vegetarian']",can you tell me where to get some cheap vegetarian food,"['Price', 'Cuisine']",,none
4774,Price,"['cheap', 'vegetarian']",can you tell me where to get some cheap vegetarian food,"['Price', 'Cuisine']",cheap,PricePrice
5368,Price,"['cheap', 'vegetarian', 'nearby']",is there a cheap vegetarian restaurant nearby,"['Price', 'Cuisine', 'Location']",cheap,PricePricePrice
2326,Dish,"['cheap', 'vegetarian', 'nearby']",is there a cheap vegetarian restaurant nearby,"['Price', 'Cuisine', 'Location']",,none
3847,Amenity,"['cheap', 'vegetarian', 'nearby']",is there a cheap vegetarian restaurant nearby,"['Price', 'Cuisine', 'Location']",,none
9931,Hours,"['cheap', 'vegetarian', 'nearby']",is there a cheap vegetarian restaurant nearby,"['Price', 'Cuisine', 'Location']",,none
11452,Restaurant_Name,"['cheap', 'vegetarian', 'nearby']",is there a cheap vegetarian restaurant nearby,"['Price', 'Cuisine', 'Location']",,none
805,Rating,"['cheap', 'vegetarian', 'nearby']",is there a cheap vegetarian restaurant nearby,"['Price', 'Cuisine', 'Location']",,none
6889,Location,"['cheap', 'vegetarian', 'nearby']",is there a cheap vegetarian restaurant nearby,"['Price', 'Cuisine', 'Location']",nearby,LocationLocationLocation
8410,Cuisine,"['cheap', 'vegetarian', 'nearby']",is there a cheap vegetarian restaurant nearby,"['Price', 'Cuisine', 'Location']",vegetarian,CuisineCuisineCuisine
7739,Cuisine,"['cheap', 'vietnamese']",can you find a cheap vietnamese restaurant,"['Price', 'Cuisine']",vietnamese,CuisineCuisine
9260,Hours,"['cheap', 'vietnamese']",can you find a cheap vietnamese restaurant,"['Price', 'Cuisine']",,none
10781,Restaurant_Name,"['cheap', 'vietnamese']",can you find a cheap vietnamese restaurant,"['Price', 'Cuisine']",,none
134,Rating,"['cheap', 'vietnamese']",can you find a cheap vietnamese restaurant,"['Price', 'Cuisine']",,none
3176,Amenity,"['cheap', 'vietnamese']",can you find a cheap vietnamese restaurant,"['Price', 'Cuisine']",,none
4697,Price,"['cheap', 'vietnamese']",can you find a cheap vietnamese restaurant,"['Price', 'Cuisine']",cheap,PricePrice
1655,Dish,"['cheap', 'vietnamese']",can you find a cheap vietnamese restaurant,"['Price', 'Cuisine']",,none
6218,Location,"['cheap', 'vietnamese']",can you find a cheap vietnamese restaurant,"['Price', 'Cuisine']",,none
8591,Cuisine,['cheapest'],looking for the cheapest place to eat im on a budget,['Price'],,none
2507,Dish,['cheapest'],looking for the cheapest place to eat im on a budget,['Price'],,none
5549,Price,['cheapest'],looking for the cheapest place to eat im on a budget,['Price'],cheapest,Price
7070,Location,['cheapest'],looking for the cheapest place to eat im on a budget,['Price'],,none
11633,Restaurant_Name,['cheapest'],looking for the cheapest place to eat im on a budget,['Price'],,none
986,Rating,['cheapest'],looking for the cheapest place to eat im on a budget,['Price'],,none
4028,Amenity,['cheapest'],looking for the cheapest place to eat im on a budget,['Price'],,none
10112,Hours,['cheapest'],looking for the cheapest place to eat im on a budget,['Price'],,none
1299,Rating,"['cheapest', 'burgers', 'in town']",where can i find the cheapest burgers in town,"['Price', 'Dish', 'Location']",,none
4341,Amenity,"['cheapest', 'burgers', 'in town']",where can i find the cheapest burgers in town,"['Price', 'Dish', 'Location']",,none
10425,Hours,"['cheapest', 'burgers', 'in town']",where can i find the cheapest burgers in town,"['Price', 'Dish', 'Location']",,none
5862,Price,"['cheapest', 'burgers', 'in town']",where can i find the cheapest burgers in town,"['Price', 'Dish', 'Location']",cheapest,PricePricePrice
11946,Restaurant_Name,"['cheapest', 'burgers', 'in town']",where can i find the cheapest burgers in town,"['Price', 'Dish', 'Location']",,none
2820,Dish,"['cheapest', 'burgers', 'in town']",where can i find the cheapest burgers in town,"['Price', 'Dish', 'Location']",burgers,DishDishDish
7383,Location,"['cheapest', 'burgers', 'in town']",where can i find the cheapest burgers in town,"['Price', 'Dish', 'Location']",in town,LocationLocationLocation
8904,Cuisine,"['cheapest', 'burgers', 'in town']",where can i find the cheapest burgers in town,"['Price', 'Dish', 'Location']",,none
4276,Amenity,"['cheapest', 'fast food', 'play area']",whats the cheapest fast food restaurant that has a play area for children,"['Price', 'Cuisine', 'Amenity']",play area,AmenityAmenityAmenity
11881,Restaurant_Name,"['cheapest', 'fast food', 'play area']",whats the cheapest fast food restaurant that has a play area for children,"['Price', 'Cuisine', 'Amenity']",,none
5797,Price,"['cheapest', 'fast food', 'play area']",whats the cheapest fast food restaurant that has a play area for children,"['Price', 'Cuisine', 'Amenity']",cheapest,PricePricePrice
7318,Location,"['cheapest', 'fast food', 'play area']",whats the cheapest fast food restaurant that has a play area for children,"['Price', 'Cuisine', 'Amenity']",,none
2755,Dish,"['cheapest', 'fast food', 'play area']",whats the cheapest fast food restaurant that has a play area for children,"['Price', 'Cuisine', 'Amenity']",,none
8839,Cuisine,"['cheapest', 'fast food', 'play area']",whats the cheapest fast food restaurant that has a play area for children,"['Price', 'Cuisine', 'Amenity']",fast food,CuisineCuisineCuisine
1234,Rating,"['cheapest', 'fast food', 'play area']",whats the cheapest fast food restaurant that has a play area for children,"['Price', 'Cuisine', 'Amenity']",,none
10360,Hours,"['cheapest', 'fast food', 'play area']",whats the cheapest fast food restaurant that has a play area for children,"['Price', 'Cuisine', 'Amenity']",,none
5970,Price,"['cheapest', 'nearest']",where is the cheapest place to eat nearest to me,"['Price', 'Location']",cheapest,PricePrice
4449,Amenity,"['cheapest', 'nearest']",where is the cheapest place to eat nearest to me,"['Price', 'Location']",,none
2928,Dish,"['cheapest', 'nearest']",where is the cheapest place to eat nearest to me,"['Price', 'Location']",,none
1407,Rating,"['cheapest', 'nearest']",where is the cheapest place to eat nearest to me,"['Price', 'Location']",,none
12054,Restaurant_Name,"['cheapest', 'nearest']",where is the cheapest place to eat nearest to me,"['Price', 'Location']",,none
9012,Cuisine,"['cheapest', 'nearest']",where is the cheapest place to eat nearest to me,"['Price', 'Location']",,none
7491,Location,"['cheapest', 'nearest']",where is the cheapest place to eat nearest to me,"['Price', 'Location']",nearest,LocationLocation
10533,Hours,"['cheapest', 'nearest']",where is the cheapest place to eat nearest to me,"['Price', 'Location']",,none
5863,Price,"['cheapest', 'pizza']",where can i find the cheapest pizza,"['Price', 'Dish']",cheapest,PricePrice
7384,Location,"['cheapest', 'pizza']",where can i find the cheapest pizza,"['Price', 'Dish']",,none
2821,Dish,"['cheapest', 'pizza']",where can i find the cheapest pizza,"['Price', 'Dish']",pizza,DishDish
8905,Cuisine,"['cheapest', 'pizza']",where can i find the cheapest pizza,"['Price', 'Dish']",,none
4342,Amenity,"['cheapest', 'pizza']",where can i find the cheapest pizza,"['Price', 'Dish']",,none
1300,Rating,"['cheapest', 'pizza']",where can i find the cheapest pizza,"['Price', 'Dish']",,none
10426,Hours,"['cheapest', 'pizza']",where can i find the cheapest pizza,"['Price', 'Dish']",,none
11947,Restaurant_Name,"['cheapest', 'pizza']",where can i find the cheapest pizza,"['Price', 'Dish']",,none
4343,Amenity,"['cheapest', 'take out', 'chinese']",where can i find the cheapest take out chinese food,"['Price', 'Amenity', 'Cuisine']",take out,AmenityAmenityAmenity
2822,Dish,"['cheapest', 'take out', 'chinese']",where can i find the cheapest take out chinese food,"['Price', 'Amenity', 'Cuisine']",,none
8906,Cuisine,"['cheapest', 'take out', 'chinese']",where can i find the cheapest take out chinese food,"['Price', 'Amenity', 'Cuisine']",chinese,CuisineCuisineCuisine
11948,Restaurant_Name,"['cheapest', 'take out', 'chinese']",where can i find the cheapest take out chinese food,"['Price', 'Amenity', 'Cuisine']",,none
1301,Rating,"['cheapest', 'take out', 'chinese']",where can i find the cheapest take out chinese food,"['Price', 'Amenity', 'Cuisine']",,none
10427,Hours,"['cheapest', 'take out', 'chinese']",where can i find the cheapest take out chinese food,"['Price', 'Amenity', 'Cuisine']",,none
7385,Location,"['cheapest', 'take out', 'chinese']",where can i find the cheapest take out chinese food,"['Price', 'Amenity', 'Cuisine']",,none
5864,Price,"['cheapest', 'take out', 'chinese']",where can i find the cheapest take out chinese food,"['Price', 'Amenity', 'Cuisine']",cheapest,PricePricePrice
3402,Amenity,"['cheaply', 'thai']",find me a cheaply priced thai restaurant,"['Price', 'Cuisine']",,none
9486,Hours,"['cheaply', 'thai']",find me a cheaply priced thai restaurant,"['Price', 'Cuisine']",,none
4923,Price,"['cheaply', 'thai']",find me a cheaply priced thai restaurant,"['Price', 'Cuisine']",cheaply,PricePrice
1881,Dish,"['cheaply', 'thai']",find me a cheaply priced thai restaurant,"['Price', 'Cuisine']",,none
360,Rating,"['cheaply', 'thai']",find me a cheaply priced thai restaurant,"['Price', 'Cuisine']",,none
7965,Cuisine,"['cheaply', 'thai']",find me a cheaply priced thai restaurant,"['Price', 'Cuisine']",thai,CuisineCuisine
11007,Restaurant_Name,"['cheaply', 'thai']",find me a cheaply priced thai restaurant,"['Price', 'Cuisine']",,none
6444,Location,"['cheaply', 'thai']",find me a cheaply priced thai restaurant,"['Price', 'Cuisine']",,none
3536,Amenity,['cheddars'],how big are the portions at cheddars,['Restaurant_Name'],,none
2015,Dish,['cheddars'],how big are the portions at cheddars,['Restaurant_Name'],,none
5057,Price,['cheddars'],how big are the portions at cheddars,['Restaurant_Name'],,none
6578,Location,['cheddars'],how big are the portions at cheddars,['Restaurant_Name'],,none
8099,Cuisine,['cheddars'],how big are the portions at cheddars,['Restaurant_Name'],,none
494,Rating,['cheddars'],how big are the portions at cheddars,['Restaurant_Name'],,none
11141,Restaurant_Name,['cheddars'],how big are the portions at cheddars,['Restaurant_Name'],cheddars,Restaurant_Name
9620,Hours,['cheddars'],how big are the portions at cheddars,['Restaurant_Name'],,none
3153,Amenity,"['cheeseboard', 'berkeley']",call cheeseboard in berkeley for me,"['Restaurant_Name', 'Location']",,none
7716,Cuisine,"['cheeseboard', 'berkeley']",call cheeseboard in berkeley for me,"['Restaurant_Name', 'Location']",,none
4674,Price,"['cheeseboard', 'berkeley']",call cheeseboard in berkeley for me,"['Restaurant_Name', 'Location']",,none
6195,Location,"['cheeseboard', 'berkeley']",call cheeseboard in berkeley for me,"['Restaurant_Name', 'Location']",berkeley,LocationLocation
111,Rating,"['cheeseboard', 'berkeley']",call cheeseboard in berkeley for me,"['Restaurant_Name', 'Location']",,none
10758,Restaurant_Name,"['cheeseboard', 'berkeley']",call cheeseboard in berkeley for me,"['Restaurant_Name', 'Location']",cheeseboard,Restaurant_NameRestaurant_Name
9237,Hours,"['cheeseboard', 'berkeley']",call cheeseboard in berkeley for me,"['Restaurant_Name', 'Location']",,none
1632,Dish,"['cheeseboard', 'berkeley']",call cheeseboard in berkeley for me,"['Restaurant_Name', 'Location']",,none
10769,Restaurant_Name,"['chefands table', 'north bedford street', 'very late at night']",can i get a chefands table on north bedford street very late at night,"['Amenity', 'Location', 'Hours']",,none
122,Rating,"['chefands table', 'north bedford street', 'very late at night']",can i get a chefands table on north bedford street very late at night,"['Amenity', 'Location', 'Hours']",,none
9248,Hours,"['chefands table', 'north bedford street', 'very late at night']",can i get a chefands table on north bedford street very late at night,"['Amenity', 'Location', 'Hours']",very late at night,HoursHoursHours
7727,Cuisine,"['chefands table', 'north bedford street', 'very late at night']",can i get a chefands table on north bedford street very late at night,"['Amenity', 'Location', 'Hours']",,none
1643,Dish,"['chefands table', 'north bedford street', 'very late at night']",can i get a chefands table on north bedford street very late at night,"['Amenity', 'Location', 'Hours']",,none
6206,Location,"['chefands table', 'north bedford street', 'very late at night']",can i get a chefands table on north bedford street very late at night,"['Amenity', 'Location', 'Hours']",north bedford street,LocationLocationLocation
3164,Amenity,"['chefands table', 'north bedford street', 'very late at night']",can i get a chefands table on north bedford street very late at night,"['Amenity', 'Location', 'Hours']",chefands table,AmenityAmenityAmenity
4685,Price,"['chefands table', 'north bedford street', 'very late at night']",can i get a chefands table on north bedford street very late at night,"['Amenity', 'Location', 'Hours']",,none
11411,Restaurant_Name,"['chepes restaurant', 'way']",is chepes restaurant on the way,"['Restaurant_Name', 'Location']",chepes restaurant,Restaurant_NameRestaurant_Name
6848,Location,"['chepes restaurant', 'way']",is chepes restaurant on the way,"['Restaurant_Name', 'Location']",way,LocationLocation
9890,Hours,"['chepes restaurant', 'way']",is chepes restaurant on the way,"['Restaurant_Name', 'Location']",,none
2285,Dish,"['chepes restaurant', 'way']",is chepes restaurant on the way,"['Restaurant_Name', 'Location']",,none
8369,Cuisine,"['chepes restaurant', 'way']",is chepes restaurant on the way,"['Restaurant_Name', 'Location']",,none
764,Rating,"['chepes restaurant', 'way']",is chepes restaurant on the way,"['Restaurant_Name', 'Location']",,none
3806,Amenity,"['chepes restaurant', 'way']",is chepes restaurant on the way,"['Restaurant_Name', 'Location']",,none
5327,Price,"['chepes restaurant', 'way']",is chepes restaurant on the way,"['Restaurant_Name', 'Location']",,none
11313,Restaurant_Name,"['chez yogis', 'in tow city']",i want to get price info on chez yogis restaurant in tow city,"['Restaurant_Name', 'Location']",chez yogis,Restaurant_NameRestaurant_Name
9792,Hours,"['chez yogis', 'in tow city']",i want to get price info on chez yogis restaurant in tow city,"['Restaurant_Name', 'Location']",,none
666,Rating,"['chez yogis', 'in tow city']",i want to get price info on chez yogis restaurant in tow city,"['Restaurant_Name', 'Location']",,none
6750,Location,"['chez yogis', 'in tow city']",i want to get price info on chez yogis restaurant in tow city,"['Restaurant_Name', 'Location']",in tow city,LocationLocation
8271,Cuisine,"['chez yogis', 'in tow city']",i want to get price info on chez yogis restaurant in tow city,"['Restaurant_Name', 'Location']",,none
2187,Dish,"['chez yogis', 'in tow city']",i want to get price info on chez yogis restaurant in tow city,"['Restaurant_Name', 'Location']",,none
3708,Amenity,"['chez yogis', 'in tow city']",i want to get price info on chez yogis restaurant in tow city,"['Restaurant_Name', 'Location']",,none
5229,Price,"['chez yogis', 'in tow city']",i want to get price info on chez yogis restaurant in tow city,"['Restaurant_Name', 'Location']",,none
3551,Amenity,['chicago style sub joint'],how far away is a chicago style sub joint,['Cuisine'],,none
11156,Restaurant_Name,['chicago style sub joint'],how far away is a chicago style sub joint,['Cuisine'],,none
9635,Hours,['chicago style sub joint'],how far away is a chicago style sub joint,['Cuisine'],,none
6593,Location,['chicago style sub joint'],how far away is a chicago style sub joint,['Cuisine'],,none
509,Rating,['chicago style sub joint'],how far away is a chicago style sub joint,['Cuisine'],,none
8114,Cuisine,['chicago style sub joint'],how far away is a chicago style sub joint,['Cuisine'],chicago style sub joint,Cuisine
5072,Price,['chicago style sub joint'],how far away is a chicago style sub joint,['Cuisine'],,none
2030,Dish,['chicago style sub joint'],how far away is a chicago style sub joint,['Cuisine'],,none
6890,Location,"['chick fil a', 'within 5 miles']",is there a chick fil a within 5 miles of here,"['Restaurant_Name', 'Location']",within 5 miles,LocationLocation
8411,Cuisine,"['chick fil a', 'within 5 miles']",is there a chick fil a within 5 miles of here,"['Restaurant_Name', 'Location']",,none
2327,Dish,"['chick fil a', 'within 5 miles']",is there a chick fil a within 5 miles of here,"['Restaurant_Name', 'Location']",,none
11453,Restaurant_Name,"['chick fil a', 'within 5 miles']",is there a chick fil a within 5 miles of here,"['Restaurant_Name', 'Location']",chick fil a,Restaurant_NameRestaurant_Name
806,Rating,"['chick fil a', 'within 5 miles']",is there a chick fil a within 5 miles of here,"['Restaurant_Name', 'Location']",,none
5369,Price,"['chick fil a', 'within 5 miles']",is there a chick fil a within 5 miles of here,"['Restaurant_Name', 'Location']",,none
3848,Amenity,"['chick fil a', 'within 5 miles']",is there a chick fil a within 5 miles of here,"['Restaurant_Name', 'Location']",,none
9932,Hours,"['chick fil a', 'within 5 miles']",is there a chick fil a within 5 miles of here,"['Restaurant_Name', 'Location']",,none
7632,Cuisine,"['chick fil as', 'in the city', 'sunday']",are there any chick fil as in the city open on sunday,"['Restaurant_Name', 'Location', 'Hours']",,none
27,Rating,"['chick fil as', 'in the city', 'sunday']",are there any chick fil as in the city open on sunday,"['Restaurant_Name', 'Location', 'Hours']",,none
6111,Location,"['chick fil as', 'in the city', 'sunday']",are there any chick fil as in the city open on sunday,"['Restaurant_Name', 'Location', 'Hours']",in the city,LocationLocationLocation
4590,Price,"['chick fil as', 'in the city', 'sunday']",are there any chick fil as in the city open on sunday,"['Restaurant_Name', 'Location', 'Hours']",,none
3069,Amenity,"['chick fil as', 'in the city', 'sunday']",are there any chick fil as in the city open on sunday,"['Restaurant_Name', 'Location', 'Hours']",,none
10674,Restaurant_Name,"['chick fil as', 'in the city', 'sunday']",are there any chick fil as in the city open on sunday,"['Restaurant_Name', 'Location', 'Hours']",chick fil as,Restaurant_NameRestaurant_NameRestaurant_Name
1548,Dish,"['chick fil as', 'in the city', 'sunday']",are there any chick fil as in the city open on sunday,"['Restaurant_Name', 'Location', 'Hours']",,none
9153,Hours,"['chick fil as', 'in the city', 'sunday']",are there any chick fil as in the city open on sunday,"['Restaurant_Name', 'Location', 'Hours']",sunday,HoursHoursHours
6507,Location,"['chicken', 'accept discover card']",find me chicken places that accept discover card,"['Dish', 'Amenity']",,none
423,Rating,"['chicken', 'accept discover card']",find me chicken places that accept discover card,"['Dish', 'Amenity']",,none
11070,Restaurant_Name,"['chicken', 'accept discover card']",find me chicken places that accept discover card,"['Dish', 'Amenity']",,none
9549,Hours,"['chicken', 'accept discover card']",find me chicken places that accept discover card,"['Dish', 'Amenity']",,none
3465,Amenity,"['chicken', 'accept discover card']",find me chicken places that accept discover card,"['Dish', 'Amenity']",accept discover card,AmenityAmenity
8028,Cuisine,"['chicken', 'accept discover card']",find me chicken places that accept discover card,"['Dish', 'Amenity']",,none
1944,Dish,"['chicken', 'accept discover card']",find me chicken places that accept discover card,"['Dish', 'Amenity']",chicken,DishDish
4986,Price,"['chicken', 'accept discover card']",find me chicken places that accept discover card,"['Dish', 'Amenity']",,none
7603,Location,"['chicken', 'chik fa lay']",yes we need some chicken for our new diet so chik fa lay it is,"['Dish', 'Restaurant_Name']",,none
10645,Hours,"['chicken', 'chik fa lay']",yes we need some chicken for our new diet so chik fa lay it is,"['Dish', 'Restaurant_Name']",,none
3040,Dish,"['chicken', 'chik fa lay']",yes we need some chicken for our new diet so chik fa lay it is,"['Dish', 'Restaurant_Name']",chicken,DishDish
6082,Price,"['chicken', 'chik fa lay']",yes we need some chicken for our new diet so chik fa lay it is,"['Dish', 'Restaurant_Name']",,none
1519,Rating,"['chicken', 'chik fa lay']",yes we need some chicken for our new diet so chik fa lay it is,"['Dish', 'Restaurant_Name']",,none
9124,Cuisine,"['chicken', 'chik fa lay']",yes we need some chicken for our new diet so chik fa lay it is,"['Dish', 'Restaurant_Name']",,none
12166,Restaurant_Name,"['chicken', 'chik fa lay']",yes we need some chicken for our new diet so chik fa lay it is,"['Dish', 'Restaurant_Name']",chik fa lay,Restaurant_NameRestaurant_Name
4561,Amenity,"['chicken', 'chik fa lay']",yes we need some chicken for our new diet so chik fa lay it is,"['Dish', 'Restaurant_Name']",,none
2626,Dish,"['chicken', 'in the area']",what chicken restaurants are in the area,"['Dish', 'Location']",chicken,DishDish
10231,Hours,"['chicken', 'in the area']",what chicken restaurants are in the area,"['Dish', 'Location']",,none
5668,Price,"['chicken', 'in the area']",what chicken restaurants are in the area,"['Dish', 'Location']",,none
7189,Location,"['chicken', 'in the area']",what chicken restaurants are in the area,"['Dish', 'Location']",in the area,LocationLocation
8710,Cuisine,"['chicken', 'in the area']",what chicken restaurants are in the area,"['Dish', 'Location']",,none
4147,Amenity,"['chicken', 'in the area']",what chicken restaurants are in the area,"['Dish', 'Location']",,none
11752,Restaurant_Name,"['chicken', 'in the area']",what chicken restaurants are in the area,"['Dish', 'Location']",,none
1105,Rating,"['chicken', 'in the area']",what chicken restaurants are in the area,"['Dish', 'Location']",,none
2853,Dish,['chicken nuggets'],where can i get some chicken nuggets,['Dish'],chicken nuggets,Dish
8937,Cuisine,['chicken nuggets'],where can i get some chicken nuggets,['Dish'],,none
4374,Amenity,['chicken nuggets'],where can i get some chicken nuggets,['Dish'],,none
1332,Rating,['chicken nuggets'],where can i get some chicken nuggets,['Dish'],,none
10458,Hours,['chicken nuggets'],where can i get some chicken nuggets,['Dish'],,none
7416,Location,['chicken nuggets'],where can i get some chicken nuggets,['Dish'],,none
